Id,Hex,Class Code,Class Name,
1,ffff00,LT,Large to medium tree crops,Large to Medium (>2 ha) Tree crops - Crop Cover: Orchrd(s)
2,ffff00,ST,Small tree crops,Small (<2 ha) Tree crops - Orchard(s)
3,ffff00,RBT,Rainfed broadleaved evergreen tree crop(s),
4,ffff00,RT,Rainfed tree plantation(s),
5,ffff00,LS,Large to medium size field(s) of rainfed shrub crop(s),
6,ffff00,SS,Small sized field(s) of rainfed shrub crop(s),
7,ffff00,SSC,Scattered isolated small sized field(s) of rainfed shrub crop(s),
8,ffff00,LH,Large to medium irrigated herbaceous crop(s),
9,ffff00,SH,Small irrigated herbaceous crops,
10,ffff00,LC,Large to medium rainfed herbaceous crops,
11,ffff00,SR,Small rainfed herbaceous crops,
12,ffff00,SRH,Small rainfed herbaceous crops (isolated),
13,ffff00,SC,Shifting cultivation of herbaceous crops,
14,ffff00,SF,Small post flooding herbaceous crops,
15,ffff00,FC,Post flooding cultivation of scattered isolated small sized field(s) of herbaceous crop(s),
16,ffff00,SRF,Small sized herbaceous rainfed field(s),
17,ffff00,LR,Large to medium rice crops (rotational),
18,ffff00,SRC,Small rice crops,
19,92d050,CB,Closed broadleaved deciduous trees,
20,92d050,OT,Open trees (woodland),
21,92d050,CT,Closed to open broadleaved evergreen trees,
22,92d050,GF,Closed to open trees - gallery forest,
23,92d050,OB,Very open broadleaved evergreen trees,
24,92d050,PF,Closed to open trees on permanently flooded land,
25,92d050,TF,Closed to open trees on temporarily flooded land,
26,92d050,MS,Closed to open mangrove shrubs,
27,ffcccc,TE,Closed broadleaved deciduous thicket with sparse emergents,
28,ffcccc,S,Open medium to high shrubs (shrubland),
29,ffcccc,CF,Closed to open shrubs on permanently flooded land,
30,ffcccc,TS,Closed to open temporarily flooded shrubs,
31,ffd966,HT,Closed to open herbaceous vegetation with sparse trees and shrubs,
32,ffd966,SV,Sparse herbaceous vegetation,
33,ffd966,TH,Closed to open herbaceous temporarily flooded vegetation,
34,ffd966,FV,Closed herbaceous permanently flooded vegetation,
35,ffd966,HF,Closed to open herbaceous temporarily flooded vegetation,
36,ff7878,Ai,Airport,
37,ff7878,M,Mines and quarries,
38,ff7878,P,Port,
39,ff7878,U,Urban area(s),
40,ff7878,RS,Rural settlement,
41,bfbfbf,BR,Bare soil,
42,bfbfbf,I,Ironpan/laterite crust(s) - bowal,
43,bfbfbf,G,"Gravels, stones and/or boulders - river bank and rock debris",
44,bfbfbf,BR,Bare rock and/or coarse fragments,
45,bfbfbf,AL,Artificial lake,
46,9bc2e6,R,River,
47,9bc2e6,L,Lake,
48,9bc2e6,T,Tidal area,
