ID,Hex,Class Code,Class Name,,,
1,#86651a,Cfp,Forest plantation,,,
2,#2d5423,Fct,Light forest,,,
3,#28702e,Ac,Gallery forest,,,
4,#437d2f,"		Sa",Tree savannah,,,
5,#88b732,Sar,Shrub savannah,,, 
6,#61b871,Sh,Grassy savannah,,,
7,#2e615f,Staa,Tree steppe (grassy plain),,,
8,#e59608,Stb,Shrub steppe (grassy plain),,,
9,#fdd280,Sth,Grassy steppe (grassy plain),,,
10,#a0529b,Ci,Irrigated cultivation,,,
11,#c07cb3,Chi,Market gardening/Rice field/Rice cultivation,,,
12,#f7becb,Cih,Cereal cultivation,,,
13,#757377,Sr,Rock outcrops/gravelly soil,,,
14,#e7deb9,Sn,Eroded zone/bare soil,,,
15,#f4ec68,Dsa,Dune extent,,,
16,#3d4899,Pep,Water body,,,
17,#e51719,Bnl,Buildings,,,
