system,record,class_id,class_map_code,class_name,hp_id,stratum_id,block_id,char_id,ref,attribute,min,max,value,evidence,framing_ref,confidence,status,note
mapbiomas_argentina,class,1,1,Forests,,,,,,class_name,,,Forests,,,,,
mapbiomas_argentina,class,1,1,Forests,,,,,,class_map_code,,,1,,,,,
mapbiomas_argentina,class,3,3,Closed forests,,,,,,class_name,,,Closed forests,,,,,
mapbiomas_argentina,class,3,3,Closed forests,,,,,,class_map_code,,,3,,,,,
mapbiomas_argentina,class,4,4,Open forests,,,,,,class_name,,,Open forests,,,,,
mapbiomas_argentina,class,4,4,Open forests,,,,,,class_map_code,,,4,,,,,
mapbiomas_argentina,class,6,6,Flooded forests,,,,,,class_name,,,Flooded forests,,,,,
mapbiomas_argentina,class,6,6,Flooded forests,,,,,,class_map_code,,,6,,,,,
mapbiomas_argentina,class,66,66,Closed shrublands,,,,,,class_name,,,Closed shrublands,,,,,
mapbiomas_argentina,class,66,66,Closed shrublands,,,,,,class_map_code,,,66,,,,,
mapbiomas_argentina,class,77,77,Open shrublands,,,,,,class_name,,,Open shrublands,,,,,
mapbiomas_argentina,class,77,77,Open shrublands,,,,,,class_map_code,,,77,,,,,
mapbiomas_argentina,class,63,63,Shrubs and herbaceous mosaic,,,,,,class_name,,,Shrubs and herbaceous mosaic,,,,,
mapbiomas_argentina,class,63,63,Shrubs and herbaceous mosaic,,,,,,class_map_code,,,63,,,,,
mapbiomas_argentina,class,12,12,Grasslands,,,,,,class_name,,,Grasslands,,,,,
mapbiomas_argentina,class,12,12,Grasslands,,,,,,class_map_code,,,12,,,,,
mapbiomas_argentina,class,11,11,Flooded grasslands,,,,,,class_name,,,Flooded grasslands,,,,,
mapbiomas_argentina,class,11,11,Flooded grasslands,,,,,,class_map_code,,,11,,,,,
mapbiomas_argentina,class,73,73,Peatlands,,,,,,class_name,,,Peatlands,,,,,
mapbiomas_argentina,class,73,73,Peatlands,,,,,,class_map_code,,,73,,,,,
mapbiomas_argentina,class,18,18,Agriculture,,,,,,class_name,,,Agriculture,,,,,
mapbiomas_argentina,class,18,18,Agriculture,,,,,,class_map_code,,,18,,,,,
mapbiomas_argentina,class,19,19,Temporary crops,,,,,,class_name,,,Temporary crops,,,,,
mapbiomas_argentina,class,19,19,Temporary crops,,,,,,class_map_code,,,19,,,,,
mapbiomas_argentina,class,36,36,Perennial crops,,,,,,class_name,,,Perennial crops,,,,,
mapbiomas_argentina,class,36,36,Perennial crops,,,,,,class_map_code,,,36,,,,,
mapbiomas_argentina,class,15,15,Pastures,,,,,,class_name,,,Pastures,,,,,
mapbiomas_argentina,class,15,15,Pastures,,,,,,class_map_code,,,15,,,,,
mapbiomas_argentina,class,9,9,Forest plantations,,,,,,class_name,,,Forest plantations,,,,,
mapbiomas_argentina,class,9,9,Forest plantations,,,,,,class_map_code,,,9,,,,,
mapbiomas_argentina,class,21,21,Agriculture and pasture mosaic,,,,,,class_name,,,Agriculture and pasture mosaic,,,,,
mapbiomas_argentina,class,21,21,Agriculture and pasture mosaic,,,,,,class_map_code,,,21,,,,,
mapbiomas_argentina,class,24,24,Urban areas,,,,,,class_name,,,Urban areas,,,,,
mapbiomas_argentina,class,24,24,Urban areas,,,,,,class_map_code,,,24,,,,,
mapbiomas_argentina,class,25,25,Other non-vegetated areas,,,,,,class_name,,,Other non-vegetated areas,,,,,
mapbiomas_argentina,class,25,25,Other non-vegetated areas,,,,,,class_map_code,,,25,,,,,
mapbiomas_argentina,class,34,34,Ice and permanent snow,,,,,,class_name,,,Ice and permanent snow,,,,,
mapbiomas_argentina,class,34,34,Ice and permanent snow,,,,,,class_map_code,,,34,,,,,
mapbiomas_argentina,class,33,33,"Rivers, lakes or ocean",,,,,,class_name,,,"Rivers, lakes or ocean",,,,,
mapbiomas_argentina,class,33,33,"Rivers, lakes or ocean",,,,,,class_map_code,,,33,,,,,
mapbiomas_argentina,class,27,27,Not observed,,,,,,class_name,,,Not observed,,,,,
mapbiomas_argentina,class,27,27,Not observed,,,,,,class_map_code,,,27,,,,,
