system,record,class_id,class_map_code,class_name,hp_id,stratum_id,block_id,char_id,ref,attribute,min,max,value,evidence,framing_ref,confidence,status,note
mapbiomas_bolivia,class,1,1,Forest formation,,,,,,class_name,,,Forest formation,,,,,
mapbiomas_bolivia,class,1,1,Forest formation,,,,,,class_map_code,,,1,,,,,
mapbiomas_bolivia,class,3,3,Forest,,,,,,class_name,,,Forest,,,,,
mapbiomas_bolivia,class,3,3,Forest,,,,,,class_map_code,,,3,,,,,
mapbiomas_bolivia,class,4,4,Open forest,,,,,,class_name,,,Open forest,,,,,
mapbiomas_bolivia,class,4,4,Open forest,,,,,,class_map_code,,,4,,,,,
mapbiomas_bolivia,class,6,6,Flooded forest,,,,,,class_name,,,Flooded forest,,,,,
mapbiomas_bolivia,class,6,6,Flooded forest,,,,,,class_map_code,,,6,,,,,
mapbiomas_bolivia,class,10,10,Grassland and shrubland,,,,,,class_name,,,Grassland and shrubland,,,,,
mapbiomas_bolivia,class,10,10,Grassland and shrubland,,,,,,class_map_code,,,10,,,,,
mapbiomas_bolivia,class,11,11,Flooded grassland/shrubland,,,,,,class_name,,,Flooded grassland/shrubland,,,,,
mapbiomas_bolivia,class,11,11,Flooded grassland/shrubland,,,,,,class_map_code,,,11,,,,,
mapbiomas_bolivia,class,12,12,Grassland/shrubland,,,,,,class_name,,,Grassland/shrubland,,,,,
mapbiomas_bolivia,class,12,12,Grassland/shrubland,,,,,,class_map_code,,,12,,,,,
mapbiomas_bolivia,class,29,29,Rocky outcrop,,,,,,class_name,,,Rocky outcrop,,,,,
mapbiomas_bolivia,class,29,29,Rocky outcrop,,,,,,class_map_code,,,29,,,,,
mapbiomas_bolivia,class,66,66,Scrublands,,,,,,class_name,,,Scrublands,,,,,
mapbiomas_bolivia,class,66,66,Scrublands,,,,,,class_map_code,,,66,,,,,
mapbiomas_bolivia,class,81,81,Andean grassland and shrubland,,,,,,class_name,,,Andean grassland and shrubland,,,,,
mapbiomas_bolivia,class,81,81,Andean grassland and shrubland,,,,,,class_map_code,,,81,,,,,
mapbiomas_bolivia,class,82,82,Flooded Andean grassland and shrubland,,,,,,class_name,,,Flooded Andean grassland and shrubland,,,,,
mapbiomas_bolivia,class,82,82,Flooded Andean grassland and shrubland,,,,,,class_map_code,,,82,,,,,
mapbiomas_bolivia,class,13,13,Other non-forest natural formation,,,,,,class_name,,,Other non-forest natural formation,,,,,
mapbiomas_bolivia,class,13,13,Other non-forest natural formation,,,,,,class_map_code,,,13,,,,,
mapbiomas_bolivia,class,14,14,Farming,,,,,,class_name,,,Farming,,,,,
mapbiomas_bolivia,class,14,14,Farming,,,,,,class_map_code,,,14,,,,,
mapbiomas_bolivia,class,15,15,Pasture,,,,,,class_name,,,Pasture,,,,,
mapbiomas_bolivia,class,15,15,Pasture,,,,,,class_map_code,,,15,,,,,
mapbiomas_bolivia,class,18,18,Agriculture,,,,,,class_name,,,Agriculture,,,,,
mapbiomas_bolivia,class,18,18,Agriculture,,,,,,class_map_code,,,18,,,,,
