system,record,class_id,class_map_code,class_name,hp_id,stratum_id,block_id,char_id,ref,attribute,min,max,value,evidence,framing_ref,confidence,status,note
mapbiomas_brazil,class,1,1,Forest,,,,,,class_name,,,Forest,,,,,
mapbiomas_brazil,class,1,1,Forest,,,,,,class_map_code,,,1,,,,,
mapbiomas_brazil,class,3,3,Forest Formation,,,,,,class_name,,,Forest Formation,,,,,
mapbiomas_brazil,class,3,3,Forest Formation,,,,,,class_map_code,,,3,,,,,
mapbiomas_brazil,class,5,5,Mangrove,,,,,,class_name,,,Mangrove,,,,,
mapbiomas_brazil,class,5,5,Mangrove,,,,,,class_map_code,,,5,,,,,
mapbiomas_brazil,class,6,6,Floodable Forest,,,,,,class_name,,,Floodable Forest,,,,,
mapbiomas_brazil,class,6,6,Floodable Forest,,,,,,class_map_code,,,6,,,,,
mapbiomas_brazil,class,49,49,Wooded Sandbank Vegetation,,,,,,class_name,,,Wooded Sandbank Vegetation,,,,,
mapbiomas_brazil,class,49,49,Wooded Sandbank Vegetation,,,,,,class_map_code,,,49,,,,,
mapbiomas_brazil,class,10,10,Herbaceous and Shrubby Vegetation,,,,,,class_name,,,Herbaceous and Shrubby Vegetation,,,,,
mapbiomas_brazil,class,10,10,Herbaceous and Shrubby Vegetation,,,,,,class_map_code,,,10,,,,,
mapbiomas_brazil,class,11,11,Wetland,,,,,,class_name,,,Wetland,,,,,
mapbiomas_brazil,class,11,11,Wetland,,,,,,class_map_code,,,11,,,,,
mapbiomas_brazil,class,12,12,Grassland,,,,,,class_name,,,Grassland,,,,,
mapbiomas_brazil,class,12,12,Grassland,,,,,,class_map_code,,,12,,,,,
mapbiomas_brazil,class,32,32,Hypersaline Tidal Flat,,,,,,class_name,,,Hypersaline Tidal Flat,,,,,
mapbiomas_brazil,class,32,32,Hypersaline Tidal Flat,,,,,,class_map_code,,,32,,,,,
mapbiomas_brazil,class,29,29,Rocky Outcrop,,,,,,class_name,,,Rocky Outcrop,,,,,
mapbiomas_brazil,class,29,29,Rocky Outcrop,,,,,,class_map_code,,,29,,,,,
mapbiomas_brazil,class,50,50,Herbaceous Sandbank Vegetation,,,,,,class_name,,,Herbaceous Sandbank Vegetation,,,,,
mapbiomas_brazil,class,50,50,Herbaceous Sandbank Vegetation,,,,,,class_map_code,,,50,,,,,
