system,record,class_id,class_map_code,class_name,hp_id,stratum_id,block_id,char_id,ref,attribute,min,max,value,evidence,framing_ref,confidence,status,note
mapbiomas_colombia,class,1,1,Forest formation,,,,,,class_name,,,Forest formation,,,,,
mapbiomas_colombia,class,1,1,Forest formation,,,,,,class_map_code,,,1,,,,,
mapbiomas_colombia,class,3,3,Forest,,,,,,class_name,,,Forest,,,,,
mapbiomas_colombia,class,3,3,Forest,,,,,,class_map_code,,,3,,,,,
mapbiomas_colombia,class,5,5,Mangrove,,,,,,class_name,,,Mangrove,,,,,
mapbiomas_colombia,class,5,5,Mangrove,,,,,,class_map_code,,,5,,,,,
mapbiomas_colombia,class,6,6,Flooded forest,,,,,,class_name,,,Flooded forest,,,,,
mapbiomas_colombia,class,6,6,Flooded forest,,,,,,class_map_code,,,6,,,,,
mapbiomas_colombia,class,49,49,Wooded sand vegetation,,,,,,class_name,,,Wooded sand vegetation,,,,,
mapbiomas_colombia,class,49,49,Wooded sand vegetation,,,,,,class_map_code,,,49,,,,,
mapbiomas_colombia,class,10,10,Natural non forest formation,,,,,,class_name,,,Natural non forest formation,,,,,
mapbiomas_colombia,class,10,10,Natural non forest formation,,,,,,class_map_code,,,10,,,,,
mapbiomas_colombia,class,11,11,Wetland,,,,,,class_name,,,Wetland,,,,,
mapbiomas_colombia,class,11,11,Wetland,,,,,,class_map_code,,,11,,,,,
mapbiomas_colombia,class,12,12,Grasslands / herbaceous,,,,,,class_name,,,Grasslands / herbaceous,,,,,
mapbiomas_colombia,class,12,12,Grasslands / herbaceous,,,,,,class_map_code,,,12,,,,,
mapbiomas_colombia,class,32,32,Hypersaline tidal flat,,,,,,class_name,,,Hypersaline tidal flat,,,,,
mapbiomas_colombia,class,32,32,Hypersaline tidal flat,,,,,,class_map_code,,,32,,,,,
mapbiomas_colombia,class,29,29,Rocky outcrop,,,,,,class_name,,,Rocky outcrop,,,,,
mapbiomas_colombia,class,29,29,Rocky outcrop,,,,,,class_map_code,,,29,,,,,
mapbiomas_colombia,class,50,50,Herbaceous sand vegetation,,,,,,class_name,,,Herbaceous sand vegetation,,,,,
mapbiomas_colombia,class,50,50,Herbaceous sand vegetation,,,,,,class_map_code,,,50,,,,,
mapbiomas_colombia,class,13,13,Other non forest formation,,,,,,class_name,,,Other non forest formation,,,,,
mapbiomas_colombia,class,13,13,Other non forest formation,,,,,,class_map_code,,,13,,,,,
mapbiomas_colombia,class,81,81,Andean Herbaceous and Shrubby Vegetation,,,,,,class_name,,,Andean Herbaceous and Shrubby Vegetation,,,,,
mapbiomas_colombia,class,81,81,Andean Herbaceous and Shrubby Vegetation,,,,,,class_map_code,,,81,,,,,
mapbiomas_colombia,class,82,82,Flooded Andean Herbaceous and Shrubby Vegetation,,,,,,class_name,,,Flooded Andean Herbaceous and Shrubby Vegetation,,,,,
mapbiomas_colombia,class,82,82,Flooded Andean Herbaceous and Shrubby Vegetation,,,,,,class_map_code,,,82,,,,,
mapbiomas_colombia,class,14,14,Agricultural and livestock area,,,,,,class_name,,,Agricultural and livestock area,,,,,
mapbiomas_colombia,class,14,14,Agricultural and livestock area,,,,,,class_map_code,,,14,,,,,
mapbiomas_colombia,class,9,9,Forest plantation,,,,,,class_name,,,Forest plantation,,,,,
mapbiomas_colombia,class,9,9,Forest plantation,,,,,,class_map_code,,,9,,,,,
mapbiomas_colombia,class,35,35,Palm oil,,,,,,class_name,,,Palm oil,,,,,
mapbiomas_colombia,class,35,35,Palm oil,,,,,,class_map_code,,,35,,,,,
mapbiomas_colombia,class,74,74,Banana (beta),,,,,,class_name,,,Banana (beta),,,,,
mapbiomas_colombia,class,74,74,Banana (beta),,,,,,class_map_code,,,74,,,,,
mapbiomas_colombia,class,21,21,Mosaic of agriculture and pasture,,,,,,class_name,,,Mosaic of agriculture and pasture,,,,,
mapbiomas_colombia,class,21,21,Mosaic of agriculture and pasture,,,,,,class_map_code,,,21,,,,,
mapbiomas_colombia,class,22,22,Non-vegetated area,,,,,,class_name,,,Non-vegetated area,,,,,
mapbiomas_colombia,class,22,22,Non-vegetated area,,,,,,class_map_code,,,22,,,,,
mapbiomas_colombia,class,23,23,"Beach, dune and sand spot",,,,,,class_name,,,"Beach, dune and sand spot",,,,,
mapbiomas_colombia,class,23,23,"Beach, dune and sand spot",,,,,,class_map_code,,,23,,,,,
mapbiomas_colombia,class,24,24,Infrastructure,,,,,,class_name,,,Infrastructure,,,,,
mapbiomas_colombia,class,24,24,Infrastructure,,,,,,class_map_code,,,24,,,,,
mapbiomas_colombia,class,30,30,Mining,,,,,,class_name,,,Mining,,,,,
mapbiomas_colombia,class,30,30,Mining,,,,,,class_map_code,,,30,,,,,
mapbiomas_colombia,class,68,68,Other natural non-vegetated area,,,,,,class_name,,,Other natural non-vegetated area,,,,,
mapbiomas_colombia,class,68,68,Other natural non-vegetated area,,,,,,class_map_code,,,68,,,,,
mapbiomas_colombia,class,25,25,Other non-vegetated area,,,,,,class_name,,,Other non-vegetated area,,,,,
mapbiomas_colombia,class,25,25,Other non-vegetated area,,,,,,class_map_code,,,25,,,,,
mapbiomas_colombia,class,75,75,Solar panel farm,,,,,,class_name,,,Solar panel farm,,,,,
mapbiomas_colombia,class,75,75,Solar panel farm,,,,,,class_map_code,,,75,,,,,
mapbiomas_colombia,class,26,26,Water body,,,,,,class_name,,,Water body,,,,,
mapbiomas_colombia,class,26,26,Water body,,,,,,class_map_code,,,26,,,,,
mapbiomas_colombia,class,33,33,"River, lake or ocean",,,,,,class_name,,,"River, lake or ocean",,,,,
mapbiomas_colombia,class,33,33,"River, lake or ocean",,,,,,class_map_code,,,33,,,,,
mapbiomas_colombia,class,31,31,Aquaculture,,,,,,class_name,,,Aquaculture,,,,,
mapbiomas_colombia,class,31,31,Aquaculture,,,,,,class_map_code,,,31,,,,,
mapbiomas_colombia,class,34,34,Glacier,,,,,,class_name,,,Glacier,,,,,
mapbiomas_colombia,class,34,34,Glacier,,,,,,class_map_code,,,34,,,,,
mapbiomas_colombia,class,27,27,Not observed,,,,,,class_name,,,Not observed,,,,,
mapbiomas_colombia,class,27,27,Not observed,,,,,,class_map_code,,,27,,,,,
