system,record,class_id,class_map_code,class_name,hp_id,stratum_id,block_id,char_id,ref,attribute,min,max,value,evidence,framing_ref,confidence,status,note
mapbiomas_ecuador,class,1,1,Natural forest,,,,,,class_name,,,Natural forest,,,,,
mapbiomas_ecuador,class,1,1,Natural forest,,,,,,class_map_code,,,1,,,,,
mapbiomas_ecuador,class,3,3,Forest,,,,,,class_name,,,Forest,,,,,
mapbiomas_ecuador,class,3,3,Forest,,,,,,class_map_code,,,3,,,,,
mapbiomas_ecuador,class,4,4,Open Forest,,,,,,class_name,,,Open Forest,,,,,
mapbiomas_ecuador,class,4,4,Open Forest,,,,,,class_map_code,,,4,,,,,
mapbiomas_ecuador,class,5,5,Mangrove,,,,,,class_name,,,Mangrove,,,,,
mapbiomas_ecuador,class,5,5,Mangrove,,,,,,class_map_code,,,5,,,,,
mapbiomas_ecuador,class,6,6,Floodable forest,,,,,,class_name,,,Floodable forest,,,,,
mapbiomas_ecuador,class,6,6,Floodable forest,,,,,,class_map_code,,,6,,,,,
mapbiomas_ecuador,class,10,10,Non-forest natural formation,,,,,,class_name,,,Non-forest natural formation,,,,,
mapbiomas_ecuador,class,10,10,Non-forest natural formation,,,,,,class_map_code,,,10,,,,,
mapbiomas_ecuador,class,11,11,Non forest wetland,,,,,,class_name,,,Non forest wetland,,,,,
mapbiomas_ecuador,class,11,11,Non forest wetland,,,,,,class_map_code,,,11,,,,,
mapbiomas_ecuador,class,12,12,Grassland,,,,,,class_name,,,Grassland,,,,,
mapbiomas_ecuador,class,12,12,Grassland,,,,,,class_map_code,,,12,,,,,
mapbiomas_ecuador,class,81,81,Andean Herbaceous and Shrubby Vegetation,,,,,,class_name,,,Andean Herbaceous and Shrubby Vegetation,,,,,
mapbiomas_ecuador,class,81,81,Andean Herbaceous and Shrubby Vegetation,,,,,,class_map_code,,,81,,,,,
mapbiomas_ecuador,class,82,82,Flooded Andean Herbaceous,,,,,,class_name,,,Flooded Andean Herbaceous,,,,,
mapbiomas_ecuador,class,82,82,Flooded Andean Herbaceous,,,,,,class_map_code,,,82,,,,,
mapbiomas_ecuador,class,29,29,Rocky Outcrop,,,,,,class_name,,,Rocky Outcrop,,,,,
mapbiomas_ecuador,class,29,29,Rocky Outcrop,,,,,,class_map_code,,,29,,,,,
mapbiomas_ecuador,class,13,13,Other non-forest natural formation,,,,,,class_name,,,Other non-forest natural formation,,,,,
mapbiomas_ecuador,class,13,13,Other non-forest natural formation,,,,,,class_map_code,,,13,,,,,
mapbiomas_ecuador,class,14,14,Farming and silviculture,,,,,,class_name,,,Farming and silviculture,,,,,
mapbiomas_ecuador,class,14,14,Farming and silviculture,,,,,,class_map_code,,,14,,,,,
mapbiomas_ecuador,class,9,9,Silviculture,,,,,,class_name,,,Silviculture,,,,,
mapbiomas_ecuador,class,9,9,Silviculture,,,,,,class_map_code,,,9,,,,,
mapbiomas_ecuador,class,21,21,Mosaic of uses,,,,,,class_name,,,Mosaic of uses,,,,,
mapbiomas_ecuador,class,21,21,Mosaic of uses,,,,,,class_map_code,,,21,,,,,
mapbiomas_ecuador,class,74,74,Banana (beta),,,,,,class_name,,,Banana (beta),,,,,
mapbiomas_ecuador,class,74,74,Banana (beta),,,,,,class_map_code,,,74,,,,,
mapbiomas_ecuador,class,22,22,Non-vegetated area,,,,,,class_name,,,Non-vegetated area,,,,,
mapbiomas_ecuador,class,22,22,Non-vegetated area,,,,,,class_map_code,,,22,,,,,
mapbiomas_ecuador,class,24,24,Urban infrastructure,,,,,,class_name,,,Urban infrastructure,,,,,
mapbiomas_ecuador,class,24,24,Urban infrastructure,,,,,,class_map_code,,,24,,,,,
mapbiomas_ecuador,class,30,30,Mining,,,,,,class_name,,,Mining,,,,,
mapbiomas_ecuador,class,30,30,Mining,,,,,,class_map_code,,,30,,,,,
mapbiomas_ecuador,class,23,23,"Beach, dune and sand spot",,,,,,class_name,,,"Beach, dune and sand spot",,,,,
mapbiomas_ecuador,class,23,23,"Beach, dune and sand spot",,,,,,class_map_code,,,23,,,,,
mapbiomas_ecuador,class,25,25,Other anthropic non-vegetated area,,,,,,class_name,,,Other anthropic non-vegetated area,,,,,
mapbiomas_ecuador,class,25,25,Other anthropic non-vegetated area,,,,,,class_map_code,,,25,,,,,
mapbiomas_ecuador,class,68,68,Other natural non-vegetated area,,,,,,class_name,,,Other natural non-vegetated area,,,,,
mapbiomas_ecuador,class,68,68,Other natural non-vegetated area,,,,,,class_map_code,,,68,,,,,
mapbiomas_ecuador,class,26,26,Water,,,,,,class_name,,,Water,,,,,
mapbiomas_ecuador,class,26,26,Water,,,,,,class_map_code,,,26,,,,,
mapbiomas_ecuador,class,33,33,"River, Lake or Ocean",,,,,,class_name,,,"River, Lake or Ocean",,,,,
mapbiomas_ecuador,class,33,33,"River, Lake or Ocean",,,,,,class_map_code,,,33,,,,,
mapbiomas_ecuador,class,34,34,Glacier,,,,,,class_name,,,Glacier,,,,,
mapbiomas_ecuador,class,34,34,Glacier,,,,,,class_map_code,,,34,,,,,
mapbiomas_ecuador,class,31,31,Aquaculture,,,,,,class_name,,,Aquaculture,,,,,
mapbiomas_ecuador,class,31,31,Aquaculture,,,,,,class_map_code,,,31,,,,,
mapbiomas_ecuador,class,27,27,Not observed,,,,,,class_name,,,Not observed,,,,,
mapbiomas_ecuador,class,27,27,Not observed,,,,,,class_map_code,,,27,,,,,
