system,record,class_id,class_map_code,class_name,hp_id,stratum_id,block_id,char_id,ref,attribute,min,max,value,evidence,framing_ref,confidence,status,note
mapbiomas_paraguay,class,1,1,Woody Natural Vegetation,,,,,,class_name,,,Woody Natural Vegetation,,,,,
mapbiomas_paraguay,class,1,1,Woody Natural Vegetation,,,,,,class_map_code,,,1,,,,,
mapbiomas_paraguay,class,3,3,Closed Natural Woodlands,,,,,,class_name,,,Closed Natural Woodlands,,,,,
mapbiomas_paraguay,class,3,3,Closed Natural Woodlands,,,,,,class_map_code,,,3,,,,,
mapbiomas_paraguay,class,4,4,Open Natural Woodlands,,,,,,class_name,,,Open Natural Woodlands,,,,,
mapbiomas_paraguay,class,4,4,Open Natural Woodlands,,,,,,class_map_code,,,4,,,,,
mapbiomas_paraguay,class,6,6,Flooded Natural Woodlands,,,,,,class_name,,,Flooded Natural Woodlands,,,,,
mapbiomas_paraguay,class,6,6,Flooded Natural Woodlands,,,,,,class_map_code,,,6,,,,,
mapbiomas_paraguay,class,10,10,Herbaceous Natural Vegetation,,,,,,class_name,,,Herbaceous Natural Vegetation,,,,,
mapbiomas_paraguay,class,10,10,Herbaceous Natural Vegetation,,,,,,class_map_code,,,10,,,,,
mapbiomas_paraguay,class,11,11,Flooded grasslands,,,,,,class_name,,,Flooded grasslands,,,,,
mapbiomas_paraguay,class,11,11,Flooded grasslands,,,,,,class_map_code,,,11,,,,,
mapbiomas_paraguay,class,12,12,Grassland,,,,,,class_name,,,Grassland,,,,,
mapbiomas_paraguay,class,12,12,Grassland,,,,,,class_map_code,,,12,,,,,
mapbiomas_paraguay,class,14,14,Agricultural Areas,,,,,,class_name,,,Agricultural Areas,,,,,
mapbiomas_paraguay,class,14,14,Agricultural Areas,,,,,,class_map_code,,,14,,,,,
mapbiomas_paraguay,class,15,15,Pasture,,,,,,class_name,,,Pasture,,,,,
mapbiomas_paraguay,class,15,15,Pasture,,,,,,class_map_code,,,15,,,,,
mapbiomas_paraguay,class,18,18,Agriculture,,,,,,class_name,,,Agriculture,,,,,
mapbiomas_paraguay,class,18,18,Agriculture,,,,,,class_map_code,,,18,,,,,
mapbiomas_paraguay,class,9,9,Forest Plantation,,,,,,class_name,,,Forest Plantation,,,,,
mapbiomas_paraguay,class,9,9,Forest Plantation,,,,,,class_map_code,,,9,,,,,
mapbiomas_paraguay,class,22,22,Non-vegetated area,,,,,,class_name,,,Non-vegetated area,,,,,
mapbiomas_paraguay,class,22,22,Non-vegetated area,,,,,,class_map_code,,,22,,,,,
mapbiomas_paraguay,class,26,26,Water body,,,,,,class_name,,,Water body,,,,,
mapbiomas_paraguay,class,26,26,Water body,,,,,,class_map_code,,,26,,,,,
mapbiomas_paraguay,class,27,27,Not observed,,,,,,class_name,,,Not observed,,,,,
mapbiomas_paraguay,class,27,27,Not observed,,,,,,class_map_code,,,27,,,,,
