system,record,class_id,class_map_code,class_name,hp_id,stratum_id,block_id,char_id,ref,attribute,min,max,value,evidence,framing_ref,confidence,status,note
mapbiomas_peru,class,1,1,Forest formation,,,,,,class_name,,,Forest formation,,,,,
mapbiomas_peru,class,1,1,Forest formation,,,,,,class_map_code,,,1,,,,,
mapbiomas_peru,class,3,3,Forest,,,,,,class_name,,,Forest,,,,,
mapbiomas_peru,class,3,3,Forest,,,,,,class_map_code,,,3,,,,,
mapbiomas_peru,class,4,4,Dry forest,,,,,,class_name,,,Dry forest,,,,,
mapbiomas_peru,class,4,4,Dry forest,,,,,,class_map_code,,,4,,,,,
mapbiomas_peru,class,5,5,Mangrove,,,,,,class_name,,,Mangrove,,,,,
mapbiomas_peru,class,5,5,Mangrove,,,,,,class_map_code,,,5,,,,,
mapbiomas_peru,class,6,6,Flooded forest,,,,,,class_name,,,Flooded forest,,,,,
mapbiomas_peru,class,6,6,Flooded forest,,,,,,class_map_code,,,6,,,,,
mapbiomas_peru,class,10,10,Non-forest formation,,,,,,class_name,,,Non-forest formation,,,,,
mapbiomas_peru,class,10,10,Non-forest formation,,,,,,class_map_code,,,10,,,,,
mapbiomas_peru,class,11,11,Swamp or Flooded Grassland,,,,,,class_name,,,Swamp or Flooded Grassland,,,,,
mapbiomas_peru,class,11,11,Swamp or Flooded Grassland,,,,,,class_map_code,,,11,,,,,
mapbiomas_peru,class,12,12,Grasslands / herbaceous,,,,,,class_name,,,Grasslands / herbaceous,,,,,
mapbiomas_peru,class,12,12,Grasslands / herbaceous,,,,,,class_map_code,,,12,,,,,
mapbiomas_peru,class,29,29,Rocky Outcrop,,,,,,class_name,,,Rocky Outcrop,,,,,
mapbiomas_peru,class,29,29,Rocky Outcrop,,,,,,class_map_code,,,29,,,,,
mapbiomas_peru,class,66,66,Scrubland,,,,,,class_name,,,Scrubland,,,,,
mapbiomas_peru,class,66,66,Scrubland,,,,,,class_map_code,,,66,,,,,
mapbiomas_peru,class,70,70,Fog oasis,,,,,,class_name,,,Fog oasis,,,,,
mapbiomas_peru,class,70,70,Fog oasis,,,,,,class_map_code,,,70,,,,,
mapbiomas_peru,class,13,13,Other non-forest formations,,,,,,class_name,,,Other non-forest formations,,,,,
mapbiomas_peru,class,13,13,Other non-forest formations,,,,,,class_map_code,,,13,,,,,
mapbiomas_peru,class,14,14,Agricultural area,,,,,,class_name,,,Agricultural area,,,,,
mapbiomas_peru,class,14,14,Agricultural area,,,,,,class_map_code,,,14,,,,,
mapbiomas_peru,class,15,15,Pasture,,,,,,class_name,,,Pasture,,,,,
mapbiomas_peru,class,15,15,Pasture,,,,,,class_map_code,,,15,,,,,
mapbiomas_peru,class,18,18,Agriculture,,,,,,class_name,,,Agriculture,,,,,
mapbiomas_peru,class,18,18,Agriculture,,,,,,class_map_code,,,18,,,,,
mapbiomas_peru,class,35,35,Oil palm,,,,,,class_name,,,Oil palm,,,,,
mapbiomas_peru,class,35,35,Oil palm,,,,,,class_map_code,,,35,,,,,
mapbiomas_peru,class,40,40,Rice,,,,,,class_name,,,Rice,,,,,
mapbiomas_peru,class,40,40,Rice,,,,,,class_map_code,,,40,,,,,
mapbiomas_peru,class,72,72,Other crops,,,,,,class_name,,,Other crops,,,,,
mapbiomas_peru,class,72,72,Other crops,,,,,,class_map_code,,,72,,,,,
mapbiomas_peru,class,9,9,Planted forest,,,,,,class_name,,,Planted forest,,,,,
mapbiomas_peru,class,9,9,Planted forest,,,,,,class_map_code,,,9,,,,,
mapbiomas_peru,class,21,21,Mosaic of agriculture and pasture,,,,,,class_name,,,Mosaic of agriculture and pasture,,,,,
mapbiomas_peru,class,21,21,Mosaic of agriculture and pasture,,,,,,class_map_code,,,21,,,,,
mapbiomas_peru,class,22,22,Non-vegetated area,,,,,,class_name,,,Non-vegetated area,,,,,
mapbiomas_peru,class,22,22,Non-vegetated area,,,,,,class_map_code,,,22,,,,,
mapbiomas_peru,class,23,23,Beach,,,,,,class_name,,,Beach,,,,,
mapbiomas_peru,class,23,23,Beach,,,,,,class_map_code,,,23,,,,,
mapbiomas_peru,class,24,24,Infrastructure,,,,,,class_name,,,Infrastructure,,,,,
mapbiomas_peru,class,24,24,Infrastructure,,,,,,class_map_code,,,24,,,,,
mapbiomas_peru,class,30,30,Mining,,,,,,class_name,,,Mining,,,,,
mapbiomas_peru,class,30,30,Mining,,,,,,class_map_code,,,30,,,,,
mapbiomas_peru,class,32,32,Coastal Salt flat,,,,,,class_name,,,Coastal Salt flat,,,,,
mapbiomas_peru,class,32,32,Coastal Salt flat,,,,,,class_map_code,,,32,,,,,
mapbiomas_peru,class,61,61,Salt flat,,,,,,class_name,,,Salt flat,,,,,
mapbiomas_peru,class,61,61,Salt flat,,,,,,class_map_code,,,61,,,,,
mapbiomas_peru,class,68,68,Other natural non vegetated area,,,,,,class_name,,,Other natural non vegetated area,,,,,
mapbiomas_peru,class,68,68,Other natural non vegetated area,,,,,,class_map_code,,,68,,,,,
mapbiomas_peru,class,25,25,Other non vegetated area,,,,,,class_name,,,Other non vegetated area,,,,,
mapbiomas_peru,class,25,25,Other non vegetated area,,,,,,class_map_code,,,25,,,,,
mapbiomas_peru,class,26,26,Water body,,,,,,class_name,,,Water body,,,,,
mapbiomas_peru,class,26,26,Water body,,,,,,class_map_code,,,26,,,,,
mapbiomas_peru,class,33,33,"River, lake or ocean",,,,,,class_name,,,"River, lake or ocean",,,,,
mapbiomas_peru,class,33,33,"River, lake or ocean",,,,,,class_map_code,,,33,,,,,
mapbiomas_peru,class,31,31,Aquaculture,,,,,,class_name,,,Aquaculture,,,,,
mapbiomas_peru,class,31,31,Aquaculture,,,,,,class_map_code,,,31,,,,,
mapbiomas_peru,class,34,34,Glacier,,,,,,class_name,,,Glacier,,,,,
mapbiomas_peru,class,34,34,Glacier,,,,,,class_map_code,,,34,,,,,
mapbiomas_peru,class,27,27,Not observed,,,,,,class_name,,,Not observed,,,,,
mapbiomas_peru,class,27,27,Not observed,,,,,,class_map_code,,,27,,,,,
