system,record,class_id,class_map_code,class_name,hp_id,stratum_id,block_id,char_id,ref,attribute,min,max,value,evidence,framing_ref,confidence,status,note
mapbiomas_uruguay,class,1,1,Natural woody vegetation,,,,,,class_name,,,Natural woody vegetation,,,,,
mapbiomas_uruguay,class,1,1,Natural woody vegetation,,,,,,class_map_code,,,1,,,,,
mapbiomas_uruguay,class,3,3,Closed forest and closed shrubland,,,,,,class_name,,,Closed forest and closed shrubland,,,,,
mapbiomas_uruguay,class,3,3,Closed forest and closed shrubland,,,,,,class_map_code,,,3,,,,,
mapbiomas_uruguay,class,10,10,Natural herbaceous vegetation,,,,,,class_name,,,Natural herbaceous vegetation,,,,,
mapbiomas_uruguay,class,10,10,Natural herbaceous vegetation,,,,,,class_map_code,,,10,,,,,
mapbiomas_uruguay,class,11,11,Wetland,,,,,,class_name,,,Wetland,,,,,
mapbiomas_uruguay,class,11,11,Wetland,,,,,,class_map_code,,,11,,,,,
mapbiomas_uruguay,class,12,12,Grassland,,,,,,class_name,,,Grassland,,,,,
mapbiomas_uruguay,class,12,12,Grassland,,,,,,class_map_code,,,12,,,,,
mapbiomas_uruguay,class,14,14,Agricultural and livestock area,,,,,,class_name,,,Agricultural and livestock area,,,,,
mapbiomas_uruguay,class,14,14,Agricultural and livestock area,,,,,,class_map_code,,,14,,,,,
mapbiomas_uruguay,class,9,9,Forest plantation,,,,,,class_name,,,Forest plantation,,,,,
mapbiomas_uruguay,class,9,9,Forest plantation,,,,,,class_map_code,,,9,,,,,
mapbiomas_uruguay,class,79,79,Pinus plantation,,,,,,class_name,,,Pinus plantation,,,,,
mapbiomas_uruguay,class,79,79,Pinus plantation,,,,,,class_map_code,,,79,,,,,
mapbiomas_uruguay,class,80,80,Eucaliptus plantation,,,,,,class_name,,,Eucaliptus plantation,,,,,
mapbiomas_uruguay,class,80,80,Eucaliptus plantation,,,,,,class_map_code,,,80,,,,,
mapbiomas_uruguay,class,83,83,Other types of forest plantation,,,,,,class_name,,,Other types of forest plantation,,,,,
mapbiomas_uruguay,class,83,83,Other types of forest plantation,,,,,,class_map_code,,,83,,,,,
mapbiomas_uruguay,class,15,15,Pasture,,,,,,class_name,,,Pasture,,,,,
mapbiomas_uruguay,class,15,15,Pasture,,,,,,class_map_code,,,15,,,,,
mapbiomas_uruguay,class,19,19,Agriculture,,,,,,class_name,,,Agriculture,,,,,
mapbiomas_uruguay,class,19,19,Agriculture,,,,,,class_map_code,,,19,,,,,
mapbiomas_uruguay,class,22,22,Non-vegetated area,,,,,,class_name,,,Non-vegetated area,,,,,
mapbiomas_uruguay,class,22,22,Non-vegetated area,,,,,,class_map_code,,,22,,,,,
mapbiomas_uruguay,class,26,26,Water body,,,,,,class_name,,,Water body,,,,,
mapbiomas_uruguay,class,26,26,Water body,,,,,,class_map_code,,,26,,,,,
mapbiomas_uruguay,class,33,33,"River, lake or ocean",,,,,,class_name,,,"River, lake or ocean",,,,,
mapbiomas_uruguay,class,33,33,"River, lake or ocean",,,,,,class_map_code,,,33,,,,,
mapbiomas_uruguay,class,27,27,Not observed,,,,,,class_name,,,Not observed,,,,,
mapbiomas_uruguay,class,27,27,Not observed,,,,,,class_map_code,,,27,,,,,
mapbiomas_uruguay,class,18,18,Agriculture (code used by the rasters in place of the legend's code 19; color from the pan-MapBiomas standard palette),,,,,,class_name,,,Agriculture (code used by the rasters in place of the legend's code 19; color from the pan-MapBiomas standard palette),,,,,
mapbiomas_uruguay,class,18,18,Agriculture (code used by the rasters in place of the legend's code 19; color from the pan-MapBiomas standard palette),,,,,,class_map_code,,,18,,,,,
