system,record,class_id,class_map_code,class_name,hp_id,stratum_id,block_id,char_id,ref,attribute,min,max,value,evidence,framing_ref,confidence,status,note
mapbiomas_venezuela,class,1,1,Forest formations,,,,,,class_name,,,Forest formations,,,,,
mapbiomas_venezuela,class,1,1,Forest formations,,,,,,class_map_code,,,1,,,,,
mapbiomas_venezuela,class,3,3,Forest,,,,,,class_name,,,Forest,,,,,
mapbiomas_venezuela,class,3,3,Forest,,,,,,class_map_code,,,3,,,,,
mapbiomas_venezuela,class,4,4,Wooded savanna,,,,,,class_name,,,Wooded savanna,,,,,
mapbiomas_venezuela,class,4,4,Wooded savanna,,,,,,class_map_code,,,4,,,,,
mapbiomas_venezuela,class,5,5,Mangrove,,,,,,class_name,,,Mangrove,,,,,
mapbiomas_venezuela,class,5,5,Mangrove,,,,,,class_map_code,,,5,,,,,
mapbiomas_venezuela,class,6,6,Flooded forest,,,,,,class_name,,,Flooded forest,,,,,
mapbiomas_venezuela,class,6,6,Flooded forest,,,,,,class_map_code,,,6,,,,,
mapbiomas_venezuela,class,10,10,Grasslands and shrublands,,,,,,class_name,,,Grasslands and shrublands,,,,,
mapbiomas_venezuela,class,10,10,Grasslands and shrublands,,,,,,class_map_code,,,10,,,,,
mapbiomas_venezuela,class,11,11,Flooded grassland/shrubland,,,,,,class_name,,,Flooded grassland/shrubland,,,,,
mapbiomas_venezuela,class,11,11,Flooded grassland/shrubland,,,,,,class_map_code,,,11,,,,,
mapbiomas_venezuela,class,12,12,Grassland,,,,,,class_name,,,Grassland,,,,,
mapbiomas_venezuela,class,12,12,Grassland,,,,,,class_map_code,,,12,,,,,
mapbiomas_venezuela,class,29,29,Rocky outcrop,,,,,,class_name,,,Rocky outcrop,,,,,
mapbiomas_venezuela,class,29,29,Rocky outcrop,,,,,,class_map_code,,,29,,,,,
mapbiomas_venezuela,class,32,32,Hypersaline tidal flat,,,,,,class_name,,,Hypersaline tidal flat,,,,,
mapbiomas_venezuela,class,32,32,Hypersaline tidal flat,,,,,,class_map_code,,,32,,,,,
mapbiomas_venezuela,class,66,66,Shrubland,,,,,,class_name,,,Shrubland,,,,,
mapbiomas_venezuela,class,66,66,Shrubland,,,,,,class_map_code,,,66,,,,,
mapbiomas_venezuela,class,50,50,Xerophytic grassland/shrubland,,,,,,class_name,,,Xerophytic grassland/shrubland,,,,,
mapbiomas_venezuela,class,50,50,Xerophytic grassland/shrubland,,,,,,class_map_code,,,50,,,,,
mapbiomas_venezuela,class,13,13,Other non-forest natural formations,,,,,,class_name,,,Other non-forest natural formations,,,,,
mapbiomas_venezuela,class,13,13,Other non-forest natural formations,,,,,,class_map_code,,,13,,,,,
mapbiomas_venezuela,class,81,81,Andean herbaceous/shrubby vegetation,,,,,,class_name,,,Andean herbaceous/shrubby vegetation,,,,,
mapbiomas_venezuela,class,81,81,Andean herbaceous/shrubby vegetation,,,,,,class_map_code,,,81,,,,,
mapbiomas_venezuela,class,82,82,Flooded andean herbaceous/shrubby vegetation,,,,,,class_name,,,Flooded andean herbaceous/shrubby vegetation,,,,,
mapbiomas_venezuela,class,82,82,Flooded andean herbaceous/shrubby vegetation,,,,,,class_map_code,,,82,,,,,
mapbiomas_venezuela,class,14,14,Agricultural areas,,,,,,class_name,,,Agricultural areas,,,,,
mapbiomas_venezuela,class,14,14,Agricultural areas,,,,,,class_map_code,,,14,,,,,
mapbiomas_venezuela,class,15,15,Pasture/Fallow lands,,,,,,class_name,,,Pasture/Fallow lands,,,,,
mapbiomas_venezuela,class,15,15,Pasture/Fallow lands,,,,,,class_map_code,,,15,,,,,
mapbiomas_venezuela,class,18,18,Agriculture/Fallow lands,,,,,,class_name,,,Agriculture/Fallow lands,,,,,
mapbiomas_venezuela,class,18,18,Agriculture/Fallow lands,,,,,,class_map_code,,,18,,,,,
mapbiomas_venezuela,class,21,21,Cropland/Pasture/Fallow lands,,,,,,class_name,,,Cropland/Pasture/Fallow lands,,,,,
mapbiomas_venezuela,class,21,21,Cropland/Pasture/Fallow lands,,,,,,class_map_code,,,21,,,,,
mapbiomas_venezuela,class,9,9,Forest plantation,,,,,,class_name,,,Forest plantation,,,,,
mapbiomas_venezuela,class,9,9,Forest plantation,,,,,,class_map_code,,,9,,,,,
mapbiomas_venezuela,class,22,22,Non-vegetated areas,,,,,,class_name,,,Non-vegetated areas,,,,,
mapbiomas_venezuela,class,22,22,Non-vegetated areas,,,,,,class_map_code,,,22,,,,,
mapbiomas_venezuela,class,23,23,Beach or dune,,,,,,class_name,,,Beach or dune,,,,,
mapbiomas_venezuela,class,23,23,Beach or dune,,,,,,class_map_code,,,23,,,,,
mapbiomas_venezuela,class,24,24,Urban,,,,,,class_name,,,Urban,,,,,
mapbiomas_venezuela,class,24,24,Urban,,,,,,class_map_code,,,24,,,,,
mapbiomas_venezuela,class,30,30,Mining,,,,,,class_name,,,Mining,,,,,
mapbiomas_venezuela,class,30,30,Mining,,,,,,class_map_code,,,30,,,,,
mapbiomas_venezuela,class,68,68,Other non-vegetated natural areas,,,,,,class_name,,,Other non-vegetated natural areas,,,,,
mapbiomas_venezuela,class,68,68,Other non-vegetated natural areas,,,,,,class_map_code,,,68,,,,,
mapbiomas_venezuela,class,25,25,Other non-vegetated anthropic areas,,,,,,class_name,,,Other non-vegetated anthropic areas,,,,,
mapbiomas_venezuela,class,25,25,Other non-vegetated anthropic areas,,,,,,class_map_code,,,25,,,,,
mapbiomas_venezuela,class,26,26,Water bodies,,,,,,class_name,,,Water bodies,,,,,
mapbiomas_venezuela,class,26,26,Water bodies,,,,,,class_map_code,,,26,,,,,
mapbiomas_venezuela,class,33,33,"River, lake or ocean",,,,,,class_name,,,"River, lake or ocean",,,,,
mapbiomas_venezuela,class,33,33,"River, lake or ocean",,,,,,class_map_code,,,33,,,,,
mapbiomas_venezuela,class,34,34,Glacier,,,,,,class_name,,,Glacier,,,,,
mapbiomas_venezuela,class,34,34,Glacier,,,,,,class_map_code,,,34,,,,,
mapbiomas_venezuela,class,31,31,Aquaculture,,,,,,class_name,,,Aquaculture,,,,,
mapbiomas_venezuela,class,31,31,Aquaculture,,,,,,class_map_code,,,31,,,,,
mapbiomas_venezuela,class,27,27,Not observed,,,,,,class_name,,,Not observed,,,,,
mapbiomas_venezuela,class,27,27,Not observed,,,,,,class_map_code,,,27,,,,,
